Country name,year,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,Freedom_to_make_life_choices_per,Social_support_per
Afghanistan,2015,3.983,7.702,0.529,53.2,0.389,0.08,0.881,0.554,0.339,38.9,52.9
Afghanistan,2016,4.22,7.697,0.559,53,0.523,0.042,0.793,0.565,0.348,52.3,55.9
Afghanistan,2017,2.662,7.697,0.491,52.8,0.427,-0.121,0.954,0.496,0.371,42.7,49.1
Afghanistan,2018,2.694,7.692,0.508,52.6,0.374,-0.094,0.928,0.424,0.405,37.4,50.8
Afghanistan,2019,2.375,7.697,0.42,52.4,0.394,-0.108,0.924,0.351,0.502,39.4,42
Albania,2015,4.607,9.403,0.639,67.8,0.704,-0.081,0.885,0.688,0.35,70.4,63.9
Albania,2016,4.511,9.437,0.638,68.1,0.73,-0.017,0.901,0.675,0.322,73,63.8
Albania,2017,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,0.669,0.334,75,63.8
Albania,2018,5.004,9.518,0.684,68.7,0.824,0.009,0.899,0.713,0.319,82.4,68.4
Albania,2019,4.995,9.544,0.686,69,0.777,-0.099,0.914,0.681,0.274,77.7,68.6
Albania,2020,5.365,9.497,0.71,69.3,0.754,0.007,0.891,0.679,0.265,75.4,71
Algeria,2016,5.341,9.362,0.749,65.5,,,,0.661,0.377,0,74.9
Algeria,2017,5.249,9.354,0.807,65.7,0.437,-0.167,0.7,0.642,0.289,43.7,80.7
Algeria,2018,5.043,9.348,0.799,65.9,0.583,-0.146,0.759,0.591,0.293,58.3,79.9
Algeria,2019,4.745,9.337,0.803,66.1,0.385,0.005,0.741,0.585,0.215,38.5,80.3
Argentina,2015,6.697,10.083,0.926,68.2,0.881,-0.174,0.851,0.859,0.305,88.1,92.6
Argentina,2016,6.427,10.051,0.883,68.4,0.848,-0.192,0.851,0.842,0.312,84.8,88.3
Argentina,2017,6.039,10.067,0.907,68.6,0.832,-0.186,0.841,0.809,0.292,83.2,90.7
Argentina,2018,5.793,10.032,0.9,68.8,0.846,-0.211,0.855,0.82,0.321,84.6,90
Argentina,2019,6.086,10,0.896,69,0.817,-0.211,0.83,0.826,0.319,81.7,89.6
Argentina,2020,5.901,9.85,0.897,69.2,0.823,-0.122,0.816,0.764,0.342,82.3,89.7
Armenia,2015,4.348,9.334,0.723,66,0.551,-0.203,0.901,0.594,0.438,55.1,72.3
Armenia,2016,4.325,9.333,0.709,66.3,0.611,-0.17,0.921,0.594,0.437,61.1,70.9
Armenia,2017,4.288,9.402,0.698,66.6,0.614,-0.147,0.865,0.625,0.437,61.4,69.8
Armenia,2018,5.062,9.451,0.814,66.9,0.808,-0.163,0.677,0.581,0.455,80.8,81.4
Armenia,2019,5.488,9.522,0.782,67.2,0.844,-0.172,0.583,0.598,0.43,84.4,78.2
Australia,2015,7.309,10.779,0.952,72.7,0.922,0.332,0.357,0.79,0.21,92.2,95.2
Australia,2016,7.25,10.791,0.942,73,0.922,0.239,0.399,0.791,0.236,92.2,94.2
Australia,2017,7.257,10.798,0.95,73.3,0.911,0.317,0.411,0.78,0.225,91.1,95
Australia,2018,7.177,10.811,0.94,73.6,0.916,0.146,0.405,0.759,0.187,91.6,94
Australia,2019,7.234,10.815,0.943,73.9,0.918,0.121,0.43,0.77,0.202,91.8,94.3
Australia,2020,7.137,10.76,0.937,74.2,0.905,0.21,0.491,0.769,0.205,90.5,93.7
Austria,2015,7.076,10.881,0.928,72.1,0.9,0.099,0.557,0.798,0.164,90,92.8
